@relation netflix
@attribute 'horames' real
@attribute 'cantidadPagos' real
@attribute 'region' {'NA', 'CA', 'SA'}
@attribute 'edad' real
@attribute 'dispositivo' {TV,TABLET,SMARTPHONE,CONSOLAS, PC}
@attribute 'class' { no_contrata, contrata}
@data
210, 7, 'CA', 71, CONSOLAS, 'no_contrata'
300, 12, 'NA', 31, TV, 'no_contrata'
60, 7, 'CA', 38, CONSOLAS, 'no_contrata'
120, 2, 'NA', 44, TABLET, 'no_contrata'
300, 7, 'CA', 29, CONSOLAS, 'no_contrata'
240, 8, 'CA', 47, CONSOLAS, 'no_contrata'
270, 11, 'NA', 65, TABLET, 'contrata'
210, 9, 'CA', 25, TV, 'no_contrata'
330, 3, 'SA', 41, CONSOLAS, 'no_contrata'
90, 9, 'SA', 62, SMARTPHONE, 'no_contrata'
120, 3, 'NA', 12, SMARTPHONE, 'no_contrata'
60, 11, 'NA', 31, TV, 'no_contrata'
180, 7, 'NA', 20, TABLET, 'contrata'
30, 1, 'SA', 68, TABLET, 'no_contrata'
0, 7, 'CA', 52, CONSOLAS, 'no_contrata'
330, 11, 'NA', 43, TV, 'no_contrata'
0, 8, 'CA', 12, SMARTPHONE, 'no_contrata'
240, 1, 'NA', 60, CONSOLAS, 'no_contrata'
90, 3, 'NA', 28, TV, 'no_contrata'
150, 6, 'CA', 50, CONSOLAS, 'no_contrata'
120, 9, 'CA', 49, SMARTPHONE, 'no_contrata'
120, 6, 'SA', 56, TABLET, 'no_contrata'
30, 10, 'SA', 47, TABLET, 'no_contrata'
30, 11, 'NA', 54, TABLET, 'no_contrata'
270, 10, 'SA', 57, SMARTPHONE, 'contrata'
270, 12, 'NA', 56, SMARTPHONE, 'contrata'
270, 10, 'NA', 30, TABLET, 'contrata'
90, 9, 'SA', 64, SMARTPHONE, 'no_contrata'
240, 10, 'CA', 35, CONSOLAS, 'no_contrata'
60, 3, 'NA', 16, TV, 'no_contrata'
150, 6, 'SA', 69, TV, 'no_contrata'
0, 3, 'SA', 22, SMARTPHONE, 'no_contrata'
210, 8, 'NA', 42, SMARTPHONE, 'contrata'
300, 10, 'SA', 28, TABLET, 'contrata'
300, 12, 'SA', 49, CONSOLAS, 'no_contrata'
0, 11, 'SA', 50, TV, 'no_contrata'
180, 4, 'NA', 52, TV, 'no_contrata'
300, 10, 'NA', 21, SMARTPHONE, 'contrata'
330, 10, 'CA', 45, TABLET, 'no_contrata'
150, 10, 'SA', 44, CONSOLAS, 'no_contrata'
90, 5, 'CA', 25, SMARTPHONE, 'no_contrata'
90, 9, 'SA', 68, CONSOLAS, 'no_contrata'
240, 2, 'NA', 48, TV, 'no_contrata'
0, 5, 'CA', 55, TABLET, 'no_contrata'
330, 2, 'SA', 45, TABLET, 'no_contrata'
180, 7, 'SA', 23, TABLET, 'contrata'
240, 10, 'SA', 25, TV, 'no_contrata'
0, 9, 'NA', 20, TABLET, 'no_contrata'
180, 1, 'NA', 71, TV, 'no_contrata'
90, 7, 'CA', 30, SMARTPHONE, 'no_contrata'
330, 12, 'CA', 24, TABLET, 'no_contrata'
300, 7, 'SA', 36, TV, 'no_contrata'
120, 12, 'SA', 59, TABLET, 'no_contrata'
30, 9, 'CA', 63, CONSOLAS, 'no_contrata'
180, 5, 'CA', 60, CONSOLAS, 'no_contrata'
270, 10, 'NA', 37, TABLET, 'contrata'
210, 7, 'NA', 60, TABLET, 'contrata'
240, 9, 'CA', 64, TV, 'no_contrata'
30, 9, 'SA', 42, TABLET, 'no_contrata'
60, 11, 'SA', 70, CONSOLAS, 'no_contrata'
150, 2, 'NA', 45, SMARTPHONE, 'no_contrata'
60, 5, 'NA', 66, TABLET, 'no_contrata'
270, 3, 'NA', 49, SMARTPHONE, 'no_contrata'
330, 12, 'CA', 42, TV, 'no_contrata'
